"Client","Campaign Name","Sent Date","Total Recipients","Opens","Open Rate","Clicks","Click Rate","CTR","Bounces","Unsubscriptions","Spam Complaints","Tags","Email Format","Time","Subject","Employment Status","Topic","Product Type","Date Entered","MoAf","Day","Covid","Size","Subject Length","Punctuation","lastChar","Duplicate","Techniques"
"Family Promise","Family Promise Visions 2024-06-21",2024-06-21,4935,1941,41.41,44,0.94,2.27,248,98,8,NA,"EmailBuilder","10:30:00","Family Promise Presents: The Promise Fund Newsletter","Active","Life Stages","Visions",2025-06-09,"Morning","Friday","Post-COVID","Large",52,"Yes","No Punctuation","Yes","No"
"Family Promise","Family Promise Visions 2024-10-24",2024-10-30,4815,2135,47.18,51,1.13,2.39,290,77,4,NA,"EmailBuilder","10:30:00","Family Promise Presents: The Promise Fund Newsletter","Active","Year-End","Visions",2025-06-09,"Morning","Wednesday","Post-COVID","Large",52,"Yes","No Punctuation","Yes","No"
"Family Promise","Family Promise Visions 2025-06-05",2025-06-05,4133,1713,43.84,68,1.74,3.97,226,53,1,NA,"EmailBuilder","09:30:00","Family Promise Presents: The Promise Fund Newsletter","Active","IRA","Visions",2025-06-09,"Morning","Thursday","Post-COVID","Large",52,"Yes","No Punctuation","Yes","No"
"Franklin College","Franklin_College_Make_a_Will_2024-08-05",2024-08-05,2926,1196,41.56,16,0.56,1.34,48,2,1,NA,"EmailBuilder","10:30:00","Future Franklin College students need your help","Active","Wills","Donor-Centric
Target Mailer",2025-06-09,"Morning","Monday","Post-COVID","Large",47,"No","No Punctuation","No","No"
"Franklin College","Franklin_Year-End_2024-10-28",2024-10-31,2956,1209,41.68,13,0.45,1.08,55,4,0,NA,"EmailBuilder","11:59:00","Celebrate. Reflect. Give.","Active","Year-End","Donor-Centric
Target Mailer",2025-06-09,"Afternoon","Thursday","Post-COVID","Large",25,"Yes","Period","No","No"
"Franklin College","Franklin_Tax-Time_2025-02-04",2025-02-04,2967,1326,45.57,8,0.27,0.6,57,6,0,NA,"EmailBuilder","09:30:00","Give Wisely, Impact Greatly","Active","Tax Time","Donor-Centric
Target Mailer",2025-06-09,"Afternoon","Tuesday","Post-COVID","Large",27,"Yes","No Punctuation","No","No"
"Franklin College","Franklin_CGA_2025-05-15",2025-05-15,2966,1345,46.35,7,0.24,0.52,64,7,0,NA,"EmailBuilder","09:30:00","Is a CGA a good fit? Now is a good time to find out.","Active","Annuities","Donor-Centric
Target Mailer",2025-06-09,"Morning","Thursday","Post-COVID","Large",52,"Yes","Period","No","No"
"Fremont Area Community Fnd","Fremont DAF PC 2024-11-19",2024-11-19,191,91,50,0,0,0,9,1,0,NA,"EmailBuilder","08:30:00","Make a gift that is local, personal and meaningful","Active","DAF","Donor-Centric
Postcard",2025-06-09,"Morning","Tuesday","Post-COVID","Small",50,"Yes","No Punctuation","Yes","No"
"Fremont Area Community Fnd","Fremont Web Launch PC 2025-01-21",2025-01-21,631,254,40.84,18,2.89,7.09,9,2,0,NA,"EmailBuilder","09:02:00","Explore our new online resources today!","Active","Web Launch","Donor-Centric
Postcard",2025-06-09,"Morning","Tuesday","Post-COVID","Small",39,"Yes","Exclamation","No","No"
"Friends of Bassett","Bassett Visions 2024-06-21",2024-06-21,1182,256,23.84,7,0.65,2.73,108,7,0,NA,"EmailBuilder","10:30:00","Legacy: A Planned Giving Newsletter from Friends of Bassett Healthcare","Active","Life Stages","Visions",2025-06-10,"Morning","Friday","Post-COVID","Small",70,"Yes","No Punctuation","Yes","No"
"Friends of Bassett","Bassett Techniques 3Q24",2024-09-10,356,114,34.86,15,4.59,13.16,29,6,0,NA,"EmailBuilder","11:30:00","Techniques: Unique Giving Options for Farmers and Ranchers","Active","Farmers and Ranchers","Professional
Advisor
Newsletter",2025-06-10,"Morning","Tuesday","Post-COVID","Small",58,"Yes","No Punctuation","No","Yes"
"Friends of Bassett","Bassett Techniques 4Q24 (3/4)",2024-10-29,348,108,33.44,14,4.33,12.96,25,2,0,NA,"EmailBuilder","09:30:00","Talking to Clients About Giving Through Wills and Trusts","Active","Wills","Professional
Advisor
Newsletter",2025-06-10,"Morning","Tuesday","Post-COVID","Small",56,"No","No Punctuation","No","Yes"
"Friends of Bassett","Bassett Visions 2024-10-29",2024-10-29,1204,379,33.3,5,0.44,1.32,66,7,2,NA,"EmailBuilder","09:30:00","Legacy: A Planned Giving Newsletter from Friends of Bassett Healthcare","Active","Year-End","Visions",2025-06-10,"Morning","Tuesday","Post-COVID","Small",70,"Yes","No Punctuation","Yes","No"
"Friends of Bassett","Bassett Techniques 1Q25 (4/4)",2025-03-21,343,94,30.23,17,5.47,18.09,32,3,0,NA,"EmailBuilder","13:00:00","Help Your Clients Turn a Tax Hit Into a Tax Advantage.","Active","Mixed/Other","Professional
Advisor
Newsletter",2025-06-10,"Morning","Friday","Post-COVID","Small",54,"Yes","Period","No","Yes"
"Friends of Bassett","Bassett Visions 2025-04-09",2025-04-09,1652,504,31.32,11,0.68,2.18,43,14,1,NA,"EmailBuilder","10:00:00","Legacy: A Planned Giving Newsletter from Friends of Bassett Healthcare","Active","IRA","Visions",2025-06-10,"Morning","Wednesday","Post-COVID","Small",70,"Yes","No Punctuation","Yes","No"
"Friends of Bassett","Bassett Techniques 2Q25 (1 of 4)",2025-05-06,323,87,28.52,19,6.23,21.84,18,2,0,NA,"EmailBuilder","09:30:00","Gifts Gone Wrong! Real Cases, Powerful Lessons","Active","Mixed/Other","Professional
Advisor
Newsletter",2025-06-10,"Morning","Tuesday","Post-COVID","Small",46,"Yes","No Punctuation","No","Yes"
"Gateway","Gateway Website Launch",2025-01-09,977,428,45.92,7,0.75,1.64,45,12,0,NA,"EmailBuilder","11:44:00","Give the gift of hope and healing.","Active","Web Launch","Donor-Centric
Postcard",2025-06-09,"Afternoon","Thursday","Post-COVID","Small",34,"Yes","Period","No","No"
"Guiding Eyes","Guiding_Eyes_Year-End_2024-11-19",2024-11-19,5766,2028,40.49,31,0.62,1.53,757,106,24,NA,"EmailBuilder","09:30:00","Celebrate. Reflect. Give.","Active","Year-End","Donor-Centric
Target Mailer",2025-06-09,"Afternoon","Tuesday","Post-COVID","Large",25,"Yes","Period","No","No"
"Historic Milwaukee Visions","Historic Milwaukee Visions 2024-07-12",2024-07-14,4976,2433,49.68,28,0.57,1.15,79,53,10,"Life Stages","EmailBuilder","12:00:00","The Mix: A Planned Giving Newsletter from Historic Milwaukee","Active","Life Stages","Visions",2025-06-09,"Afternoon","Sunday","Post-COVID","Large",60,"Yes","No Punctuation","Yes","No"
"Historic Milwaukee Visions","Historic Milwaukee Visions 2024-10-07",2024-10-21,4888,2656,55.02,23,0.48,0.87,61,59,11,"Year-End","EmailBuilder","08:30:00","The Mix: A Planned Giving Newsletter from Historic Milwaukee","Active","Year-End","Visions",2025-06-09,"Morning","Monday","Post-COVID","Large",60,"Yes","No Punctuation","Yes","No"
"Historic Milwaukee Visions","Historic Milwaukee Visions 2025-04-08",2025-04-08,4879,2407,52.85,14,0.31,0.58,325,78,0,"IRA","EmailBuilder","08:30:00","The Mix: A Planned Giving Newsletter from Historic Milwaukee","Active","IRA","Visions",2025-06-09,"Morning","Tuesday","Post-COVID","Large",60,"Yes","No Punctuation","Yes","No"
"InterVarsity","InterVarsity Faithful Generosity Fall 2024",2024-11-01,5204,3092,61.18,555,10.98,17.95,150,69,9,NA,"EmailBuilder","08:30:00","Faithful Generosity: Year-End Giving Strategies","Active","Year-End","Donor-Centric
Newsletter",2025-06-09,"Morning","Friday","Post-COVID","Small",47,"Yes","No Punctuation","No","No"
"InterVarsity","InterVarsity Survey Email 1 - 2025-03-21",2025-03-21,995,444,47.49,87,9.3,19.59,60,14,0,NA,"EmailBuilder","08:30:00","Turn your passion for our ministry into your legacy","Active","Survey","Donor-Centric
Postcard",2025-06-09,"Morning","Friday","Post-COVID","Small",51,"No","No Punctuation","Yes","No"
"InterVarsity","InterVarsity Survey Email 2 - REMINDER",2025-03-28,942,501,55.85,69,7.69,13.77,45,10,0,NA,"EmailBuilder","11:01:00","Reminder: the InterVarsity survey closes in 3 days","Active","Survey","Donor-Centric
Postcard",2025-06-09,"Morning","Friday","Post-COVID","Small",50,"Yes","No Punctuation","No","No"
"InterVarsity","InterVarsity Survey Email 3 - LAST CHANCE",2025-03-31,902,336,38.98,30,3.48,8.93,40,0,0,NA,"EmailBuilder","13:30:00","Last Chance! The InterVarsity survey closes tomorrow.","Active","Survey","Donor-Centric
Postcard",2025-06-09,"Morning","Monday","Post-COVID","Small",53,"Yes","Period","No","No"
"InterVarsity","InterVarsity Survey Email 3 - THANK YOU",2025-04-01,62,35,58.33,4,6.67,11.43,2,1,0,NA,"EmailBuilder","16:17:00","Turn your passion for our ministry into your legacy","Active","Survey","Donor-Centric
Postcard",2025-06-09,"Morning","Tuesday","Post-COVID","Small",51,"No","No Punctuation","Yes","No"
"InterVarsity","InterVarsity Faithful Generosity 2025-04-29",2025-04-29,5129,2942,58.37,27,0.54,0.92,89,74,0,NA,"EmailBuilder","08:30:00","Faithful Generosity: Anyone Can Leave a Legacy","Active","Mixed/Other","Donor-Centric
Newsletter",2025-06-09,"Morning","Tuesday","Post-COVID","Small",46,"Yes","No Punctuation","No","No"
"New York Institute Technology","NYIT_CGA_Mailer_2024-12-20",2024-12-20,14486,3690,35.2,56,0.53,1.52,4003,84,8,NA,"EmailBuilder","15:49:00","Make a difference. Build a lasting legacy.","Active","Annuities","Donor-Centric
Target Mailer",2025-06-09,"Afternoon","Friday","Post-COVID","Large",42,"Yes","Period","No","No"
"Newfields","Newfields Legacy Mailer 2024",2024-08-29,4610,1906,46.12,40,0.97,2.1,477,46,11,NA,"EmailBuilder","09:30:00","Grow your legacy story beautifully with Newfields.","Active","Wills","Donor-Centric
Target Mailer",2025-06-09,"Afternoon","Thursday","Post-COVID","Large",50,"Yes","Period","No","No"
"Newfields","Newfields Legacy Circle Links Spring 2025",2025-04-17,4621,2152,52.62,36,0.88,1.67,531,48,1,NA,"EmailBuilder","10:00:00","Newfields: Turn Your IRA into a Force for Good","Active","IRA","Donor-Centric
Newsletter",2025-06-09,"Morning","Thursday","Post-COVID","Large",46,"Yes","No Punctuation","No","No"
"Occidental","OXY IRA Mailer 2024-06-25",2024-06-25,1866,939,51.45,7,0.38,0.75,41,12,1,NA,"EmailBuilder","10:30:00","Explore the benefits of giving from your IRA.","Active","IRA","Donor-Centric
Target Mailer",2025-06-09,"Morning","Tuesday","Post-COVID","Large",45,"Yes","Period","No","No"
"Occidental","OXY CGA Mailer 2025-4-2 DO NOT DUPLICATE",2025-04-08,2032,1108,57.5,13,0.67,1.17,105,10,0,NA,"EmailBuilder","10:01:00","Preserve the Future of an Occidental Education","Active","Annuities","Donor-Centric
Target Mailer",2025-06-09,"Afternoon","Tuesday","Post-COVID","Large",46,"No","No Punctuation","No","No"
"Pilots to the Rescue Visions","Pilots to the Rescue Visions 2024-06-21",2024-06-21,1804,558,32.14,8,0.46,1.43,68,18,1,NA,"EmailBuilder","10:30:00","From the Cockpit: A Planned Giving Newsletter from Pilots To The Rescue","Active","Life Stages","Visions",2025-06-09,"Morning","Friday","Post-COVID","Small",71,"Yes","No Punctuation","Yes","No"
"Pilots to the Rescue Visions","Pilots to the Rescue Visions 2024-11-08",2024-11-08,1766,784,45.55,11,0.64,1.4,45,11,5,NA,"EmailBuilder","09:30:00","From the Cockpit: A Planned Giving Newsletter from Pilots To The Rescue","Active","Year-End","Visions",2025-06-09,"Morning","Friday","Post-COVID","Small",71,"Yes","No Punctuation","Yes","No"
"Pittsburgh Symphony","Future Notes ""Blended Gifts"" 2024",2024-05-06,4357,2233,52.31,42,0.98,1.88,88,39,4,NA,"EmailBuilder","13:01:00","Blended Gifts: An Art and A Science","Active","Mixed/Other","Donor-Centric
Newsletter",2025-06-09,"Morning","Monday","Post-COVID","Large",35,"Yes","No Punctuation","No","No"
"Pittsburgh Symphony","Future Notes ""Year-End"" 2024",2024-11-20,4441,2306,53.69,28,0.65,1.21,146,36,1,NA,"EmailBuilder","09:30:00","A Personal Approach","Active","Year-End","Donor-Centric
Newsletter",2025-06-09,"Morning","Wednesday","Post-COVID","Large",19,"No","No Punctuation","No","No"
"Pittsburgh Symphony","Future Notes IRA 2025-05-06",2025-05-06,4296,2043,49.78,32,0.78,1.57,192,48,1,"IRA","EmailBuilder","09:31:00","The Good You Can Do","Active","IRA","Donor-Centric
Newsletter",2025-06-09,"Morning","Tuesday","Post-COVID","Large",19,"No","No Punctuation","No","No"
"Premier Health","Miami Valley VISIONS 2024-06-21",2024-06-21,413,148,40.33,3,0.82,2.03,46,1,0,"Mix","EmailBuilder","10:30:00","Miami Valley Hospital Foundation Presents: Directions in Personal Planning","Active","Mixed/Other","Visions",2025-06-09,"Morning","Friday","Post-COVID","Small",74,"Yes","No Punctuation","Yes","No"
"Premier Health","Good Samaritan VISIONS 2024-06-21",2024-06-21,204,99,51.83,1,0.52,1.01,13,0,0,"Mix","EmailBuilder","10:30:00","Good Samaritan Foundation-Dayton Presents: Directions in Personal Planning","Active","Mixed/Other","Visions",2025-06-09,"Morning","Friday","Post-COVID","Small",74,"Yes","No Punctuation","Yes","No"
"Premier Health","Atrium VISIONS 2024-06-21",2024-06-21,489,225,47.77,33,7.01,14.67,18,1,0,"Mix","EmailBuilder","10:30:00","Atrium Medical Center Foundation Presents: Directions in Personal Planning","Active","Mixed/Other","Visions",2025-06-09,"Morning","Friday","Post-COVID","Small",74,"Yes","No Punctuation","Yes","No"
"Premier Health","Atrium VISIONS 2024-10-28",2024-10-28,481,266,58.33,33,7.24,12.41,25,3,0,"Mix","EmailBuilder","09:30:00","Atrium Medical Center Foundation Presents: Directions in Personal Planning","Active","Mixed/Other","Visions",2025-06-09,"Morning","Monday","Post-COVID","Small",74,"Yes","No Punctuation","Yes","No"
"Premier Health","Atrium VISIONS 2025-03-24",2025-03-25,475,214,47.35,20,4.42,9.35,23,2,0,"IRA","EmailBuilder","09:30:00","Atrium Medical Center Foundation Presents: Directions in Personal Planning","Active","IRA","Visions",2025-06-09,"Afternoon","Tuesday","Post-COVID","Small",74,"Yes","No Punctuation","Yes","No"
"Providence / St. Joseph","MIS_Mission_Legacy_2024-08",2024-08-24,2350,1004,44.6,11,0.49,1.1,99,24,0,"2024||Legacy","EmailBuilder","09:30:00","Anyone can leave a legacy. What will yours be?","Active","Mixed/Other","Donor-Centric
Target Mailer",2025-06-09,"Morning","Saturday","Post-COVID","Small",46,"Yes","Question","No","No"
"Providence / St. Joseph","PHC_Holy_Cross_Legacy_2024-08",2024-08-24,590,224,38.69,6,1.04,2.68,11,3,1,"2024||Legacy","EmailBuilder","09:30:00","Anyone can leave a legacy. What will yours be?","Active","Mixed/Other","Donor-Centric
Target Mailer",2025-06-09,"Morning","Saturday","Post-COVID","Small",46,"Yes","Question","No","No"
"Providence / St. Joseph","LCM_Little_Co_Mary_Legacy 2024-08",2024-08-24,1285,536,42.41,3,0.24,0.56,21,14,5,"2024||Legacy","EmailBuilder","09:30:00","Anyone can leave a legacy. What will yours be?","Active","Mixed/Other","Donor-Centric
Target Mailer",2025-06-09,"Morning","Saturday","Post-COVID","Small",46,"Yes","Question","No","No"
"Providence / St. Joseph","PSJ_Saint_Joseph_Fnd_Legacy_2024-08",2024-08-24,1435,623,44.37,11,0.78,1.77,31,15,0,"2024||Legacy","EmailBuilder","09:30:00","Anyone can leave a legacy. What will yours be?","Active","Mixed/Other","Donor-Centric
Target Mailer",2025-06-09,"Morning","Saturday","Post-COVID","Small",46,"Yes","Question","No","No"
"Providence / St. Joseph","PTZ_Tarzana_Legacy_2024-08",2024-08-24,622,277,46.32,6,1,2.17,24,7,1,"2024||Legacy","EmailBuilder","09:30:00","Anyone can leave a legacy. What will yours be?","Active","Mixed/Other","Donor-Centric
Target Mailer",2025-06-09,"Morning","Saturday","Post-COVID","Small",46,"Yes","Question","No","No"
"Providence / St. Joseph","QVH_Queen_Valley_Legacy_2024-08",2024-08-24,1043,519,50.49,10,0.97,1.93,15,16,2,"2024||Legacy","EmailBuilder","09:30:00","Anyone can leave a legacy. What will yours be?","Active","Mixed/Other","Donor-Centric
Target Mailer",2025-06-09,"Morning","Saturday","Post-COVID","Small",46,"Yes","Question","No","No"
"Providence / St. Joseph","RMF_Redwood_Legacy_2024-08",2024-08-24,119,32,31.37,3,2.94,9.38,17,0,0,"2024||Legacy","EmailBuilder","09:30:00","Anyone can leave a legacy. What will yours be?","Active","Mixed/Other","Donor-Centric
Target Mailer",2025-06-09,"Morning","Saturday","Post-COVID","Small",46,"Yes","Question","No","No"
"Providence / St. Joseph","SJE_St_Jo_Hosp_Fnd_Eureka_Legacy_2024-08",2024-08-24,225,69,35.03,0,0,0,28,0,0,"2024||Legacy","EmailBuilder","09:30:00","Anyone can leave a legacy. What will yours be?","Active","Mixed/Other","Donor-Centric
Target Mailer",2025-06-09,"Morning","Saturday","Post-COVID","Small",46,"Yes","Question","No","No"
"Providence / St. Joseph","SJO_St_Joseph_Hosp_Fnd_Legacy_2024-08",2024-08-24,1807,726,41.72,10,0.57,1.38,67,20,4,"2024||Legacy","EmailBuilder","09:30:00","Anyone can leave a legacy. What will yours be?","Active","Mixed/Other","Donor-Centric
Target Mailer",2025-06-09,"Morning","Saturday","Post-COVID","Small",46,"Yes","Question","No","No"
"Providence / St. Joseph","SRF_Santa_Rosa_Legacy_2024-08",2024-08-24,638,260,42.76,2,0.33,0.77,30,8,1,"2024||Legacy","EmailBuilder","09:30:00","Anyone can leave a legacy. What will yours be?","Active","Mixed/Other","Donor-Centric
Target Mailer",2025-06-09,"Morning","Saturday","Post-COVID","Small",46,"Yes","Question","No","No"
"Providence / St. Joseph","STJ_St_Jude_Legacy_2024-08",2024-08-24,3564,1168,33.75,9,0.26,0.77,103,33,5,"2024||Legacy","EmailBuilder","09:30:00","Anyone can leave a legacy. What will yours be?","Active","Mixed/Other","Donor-Centric
Target Mailer",2025-06-09,"Morning","Saturday","Post-COVID","Small",46,"Yes","Question","No","No"
"Providence / St. Joseph","STM_St_Mary_Legacy_2024-08",2024-08-24,372,132,37.5,1,0.28,0.76,20,1,1,"2024||Legacy","EmailBuilder","09:30:00","Anyone can leave a legacy. What will yours be?","Active","Mixed/Other","Donor-Centric
Target Mailer",2025-06-09,"Morning","Saturday","Post-COVID","Small",46,"Yes","Question","No","No"
"Providence / St. Joseph","MIS_Mission_Legacy_2024-10",2024-10-26,2341,1123,49.76,8,0.35,0.71,84,38,2,"2024||Legacy","EmailBuilder","09:30:00","Shape your legacy. Secure our future.","Active","Wills","Donor-Centric
Target Mailer",2025-06-09,"Morning","Saturday","Post-COVID","Small",37,"Yes","Period","No","No"
"Providence / St. Joseph","PHC_Holy_Cross_Legacy_2024-10",2024-10-26,626,261,42.86,4,0.66,1.53,17,4,0,"2024||Legacy","EmailBuilder","09:30:00","Shape your legacy. Secure our future.","Active","Wills","Donor-Centric
Target Mailer",2025-06-09,"Morning","Saturday","Post-COVID","Small",37,"Yes","Period","No","No"
"Providence / St. Joseph","LCM_Little_Co_Mary_Legacy 2024-10",2024-10-26,1248,383,31.44,3,0.25,0.78,30,10,0,"2024||Legacy","EmailBuilder","09:30:00","Shape your legacy. Secure our future.","Active","Wills","Donor-Centric
Target Mailer",2025-06-09,"Morning","Saturday","Post-COVID","Small",37,"Yes","Period","No","No"
"Providence / St. Joseph","PSJ_Saint_Joseph_Fnd_Legacy_2024-10",2024-10-26,1478,649,45.19,3,0.21,0.46,42,15,2,"2024||Legacy","EmailBuilder","09:30:00","Shape your legacy. Secure our future.","Active","Wills","Donor-Centric
Target Mailer",2025-06-09,"Morning","Saturday","Post-COVID","Small",37,"Yes","Period","No","No"
"Providence / St. Joseph","PTZ_Tarzana_Legacy_2024-10",2024-10-26,660,289,45.23,3,0.47,1.04,21,7,0,"2024||Legacy","EmailBuilder","09:30:00","Shape your legacy. Secure our future.","Active","Wills","Donor-Centric
Target Mailer",2025-06-09,"Morning","Saturday","Post-COVID","Small",37,"Yes","Period","No","No"
"Providence / St. Joseph","QVH_Queen_Valley_Legacy_2024-10",2024-10-26,896,368,44.23,6,0.72,1.63,64,15,4,"2024||Legacy","EmailBuilder","09:30:00","Shape your legacy. Secure our future.","Active","Wills","Donor-Centric
Target Mailer",2025-06-09,"Morning","Saturday","Post-COVID","Small",37,"Yes","Period","No","No"
"Providence / St. Joseph","SJO_St_Joseph_Hosp_Fnd_Legacy_2024-10",2024-10-26,1788,771,44.46,8,0.46,1.04,54,25,3,"2024||Legacy","EmailBuilder","09:30:00","Shape your legacy. Secure our future.","Active","Wills","Donor-Centric
Target Mailer",2025-06-09,"Morning","Saturday","Post-COVID","Small",37,"Yes","Period","No","No"
"Providence / St. Joseph","SRF_Santa_Rosa_Legacy_2024-10",2024-10-26,681,307,47.23,5,0.77,1.63,31,11,2,"2024||Legacy","EmailBuilder","09:30:00","Shape your legacy. Secure our future.","Active","Wills","Donor-Centric
Target Mailer",2025-06-09,"Morning","Saturday","Post-COVID","Small",37,"Yes","Period","No","No"
